Model,Batch Size,Min Time,Max Time,Avg Time
mlp,1,0.0000491,0.0000811,0.0000527
mlp,16,0.0001152,0.0001988,0.0001255
mlp,1024,0.0009081,0.0016408,0.0014698
cnn,1,0.0002460,0.0003428,0.0002591
cnn,16,0.0007792,0.0009000,0.0008124
cnn,1024,0.0256231,0.0911791,0.0434762
