Model,Batch Size,Min Time,Max Time,Avg Time
mlp,1,0.0000980,0.0001271,0.0001013
mlp,16,0.0001268,0.0001450,0.0001311
mlp,1024,0.0006132,0.0010970,0.0008760
cnn,1,0.0062072,0.0176561,0.0074319
cnn,16,0.0007150,0.0010459,0.0007818
cnn,1024,0.0059371,0.0210397,0.0123957
